t,p,rhoL,rhoV,hL,hV,delta_h,sL,sV,delta_s,vL,vV
93.0,0.078 568,963.26,0.471 11,389.67,2664.4,2274.7,1.2275,7.44,6.2126,1.038 14,2122.7
94.0,0.081 541,962.57,0.487 77,393.88,2666.0,2272.1,1.2389,7.4275,6.1886,1.038 88,2050.2
95.0,0.084 608,961.88,0.504 91,398.09,2667.6,2269.5,1.2504,7.4151,6.1647,1.039 63,1980.6
96.0,0.087 771,961.18,0.522 54,402.3,2669.2,2266.9,1.2618,7.4027,6.1409,1.040 38,1913.7
97.0,0.091 030,960.48,0.540 67,406.52,2670.8,2264.3,1.2732,7.3904,6.1172,1.041 14,1849.6
98.0,0.094 390,959.78,0.559 31,410.73,2672.4,2261.7,1.2846,7.3783,6.0937,1.041 91,1787.9
99.0,0.097 852,959.06,0.578 47,414.95,2674.0,2259.0,1.2959,7.3661,6.0702,1.042 68,1728.7
100.0,0.101 42,958.35,0.598 17,419.17,2675.6,2256.4,1.3072,7.3541,6.0469,1.043 46,1671.8
101.0,0.105 09,957.63,0.618 41,423.39,2677.1,2253.8,1.3185,7.3422,6.0237,1.044 25,1617.1
102.0,0.108 87,956.9,0.639 20,427.61,2678.7,2251.1,1.3297,7.3303,6.0006,1.045 04,1564.4
103.0,0.112 77,956.18,0.660 56,431.83,2680.3,2248.5,1.3410,7.3185,5.9775,1.045 83,1513.9
104.0,0.116 78,955.44,0.682 50,436.05,2681.8,2245.8,1.3522,7.3068,5.9546,1.046 64,1465.2
105.0,0.120 90,954.7,0.705 03,440.27,2683.4,2243.1,1.3633,7.2952,5.9318,1.047 44,1418.4
106.0,0.125 15,953.96,0.728 16,444.5,2684.9,2240.4,1.3745,7.2836,5.9091,1.048 26,1373.3
107.0,0.129 52,953.22,0.751 90,448.73,2686.5,2237.7,1.3856,7.2721,5.8865,1.049 08,1330.0
108.0,0.134 01,952.46,0.776 27,452.95,2688.0,2235.1,1.3967,7.2607,5.864,1.049 91,1288.2
109.0,0.138 63,951.71,0.801 27,457.18,2689.5,2232.4,1.4078,7.2493,5.8416,1.050 74,1248.0
126.0,0.239 47,938.19,1.3365,529.33,2714.5,2185.2,1.5922,7.0668,5.4746,1.065 88,748.21
127.0,0.246 89,937.36,1.3753,533.59,2715.9,2182.3,1.6029,7.0566,5.4538,1.066 83,727.13
128.0,0.254 50,936.52,1.4149,537.85,2717.3,2179.5,1.6135,7.0465,5.433,1.067 78,706.75
129.0,0.262 29,935.68,1.4555,542.12,2718.7,2176.6,1.6241,7.0364,5.4124,1.068 74,687.05
130.0,0.270 28,934.83,1.497,546.38,2720.1,2173.7,1.6346,7.0264,5.3918,1.069 71,668.0
131.0,0.278 46,933.98,1.5394,550.65,2721.5,2170.8,1.6452,7.0165,5.3713,1.070 68,649.59
132.0,0.286 85,933.13,1.5828,554.92,2722.8,2167.9,1.6557,7.0066,5.3509,1.071 66,631.77
133.0,0.295 43,932.27,1.6272,559.19,2724.2,2165.0,1.6662,6.9967,5.3305,1.072 65,614.54
134.0,0.304 23,931.41,1.6726,563.47,2725.5,2162.1,1.6767,6.9869,5.3102,1.073 65,597.86
135.0,0.313 23,930.54,1.719,567.74,2726.9,2159.1,1.6872,6.9772,5.29,1.074 65,581.73
136.0,0.322 45,929.67,1.7664,572.02,2728.2,2156.2,1.6976,6.9675,5.2699,1.075 66,566.11
137.0,0.331 88,928.79,1.8149,576.3,2729.5,2153.2,1.7081,6.9579,5.2498,1.076 67,550.99
138.0,0.341 54,927.91,1.8644,580.59,2730.8,2150.3,1.7185,6.9483,5.2298,1.077 69,536.36
139.0,0.351 43,927.02,1.915,584.87,2732.1,2147.3,1.7289,6.9388,5.2099,1.078 72,522.18
140.0,0.361 54,926.13,1.9667,589.16,2733.4,2144.3,1.7392,6.9293,5.1901,1.079 76,508.45
141.0,0.371 89,925.24,2.0196,593.45,2734.7,2141.3,1.7496,6.9199,5.1703,1.080 80,495.16
142.0,0.382 47,924.34,2.0735,597.74,2736.0,2138.3,1.7599,6.9105,5.1506,1.081 85,482.27
143.0,0.393 29,923.44,2.1286,602.04,2737.3,2135.2,1.7702,6.9011,5.1309,1.082 91,469.79
144.0,0.404 37,922.54,2.1849,606.34,2738.5,2132.2,1.7805,6.8919,5.1114,1.083 97,457.69
145.0,0.415 68,921.62,2.2423,610.64,2739.8,2129.2,1.7907,6.8826,5.0919,1.085 04,445.96
146.0,0.427 26,920.71,2.301,614.94,2741.0,2126.1,1.801,6.8734,5.0724,1.086 12,434.59
147.0,0.439 09,919.79,2.3609,619.25,2742.3,2123.0,1.8112,6.8643,5.053,1.087 20,423.57
148.0,0.451 18,918.87,2.422,623.56,2743.5,2119.9,1.8214,6.8552,5.0337,1.088 30,412.88
149.0,0.463 54,917.94,2.4844,627.87,2744.7,2116.9,1.8316,6.8461,5.0145,1.089 40,402.51
150.0,0.476 16,917.01,2.5481,632.18,2745.9,2113.7,1.8418,6.8371,4.9953,1.090 50,392.45
151.0,0.489 07,916.07,2.613,636.5,2747.1,2110.6,1.852,6.8281,4.9761,1.091 62,382.69
152.0,0.502 25,915.13,2.6793,640.81,2748.3,2107.5,1.8621,6.8192,4.9571,1.092 74,373.23
153.0,0.515 71,914.19,2.747,645.14,2749.5,2104.3,1.8722,6.8103,4.938,1.093 87,364.04
154.0,0.529 46,913.24,2.816,649.46,2750.7,2101.2,1.8823,6.8014,4.9191,1.095 01,355.12
155.0,0.543 50,912.28,2.8863,653.79,2751.8,2098.0,1.8924,6.7926,4.9002,1.096 15,346.46
156.0,0.557 84,911.33,2.9581,658.12,2753.0,2094.8,1.9025,6.7838,4.8814,1.097 30,338.05
157.0,0.572 47,910.36,3.0313,662.45,2754.1,2091.6,1.9125,6.7751,4.8626,1.098 46,329.89
158.0,0.587 42,909.4,3.1059,666.79,2755.2,2088.4,1.9225,6.7664,4.8439,1.099 63,321.96
159.0,0.602 67,908.42,3.1821,671.13,2756.3,2085.2,1.9326,6.7578,4.8252,1.100 81,314.26
160.0,0.618 23,907.45,3.2596,675.47,2757.4,2082.0,1.9426,6.7491,4.8066,1.101 99,306.78
161.0,0.634 12,906.47,3.3387,679.82,2758.5,2078.7,1.9525,6.7406,4.788,1.103 18,299.51
162.0,0.650 33,905.49,3.4194,684.17,2759.6,2075.5,1.9625,6.732,4.7695,1.104 38,292.45
163.0,0.666 86,904.5,3.5016,688.52,2760.7,2072.2,1.9725,6.7235,4.7511,1.105 59,285.59
164.0,0.683 73,903.5,3.5853,692.88,2761.8,2068.9,1.9824,6.715,4.7327,1.106 80,278.92
181.0,1.0261,885.93,5.273,767.47,2778.1,2010.6,2.1489,6.5761,4.4272,1.128 76,189.64
182.0,1.0498,884.85,5.3893,771.9,2778.9,2007.0,2.1586,6.5682,4.4096,1.130 13,185.55
183.0,1.0739,883.77,5.5076,776.32,2779.8,2003.4,2.1683,6.5603,4.3921,1.131 51,181.57
184.0,1.0985,882.69,5.6279,780.75,2780.6,1999.8,2.1779,6.5525,4.3746,1.132 90,177.69
185.0,1.1235,881.6,5.7504,785.19,2781.4,1996.2,2.1875,6.5447,4.3571,1.134 30,173.9
186.0,1.1489,880.5,5.875,789.63,2782.2,1992.6,2.1971,6.5369,4.3397,1.135 71,170.21
187.0,1.1748,879.4,6.0018,794.07,2783.0,1988.9,2.2067,6.5291,4.3223,1.137 13,166.62
188.0,1.2011,878.3,6.1308,798.52,2783.8,1985.3,2.2163,6.5213,4.305,1.138 56,163.11
189.0,1.228,877.19,6.262,802.97,2784.5,1981.6,2.2259,6.5136,4.2877,1.140 00,159.69
190.0,1.2552,876.08,6.3954,807.43,2785.3,1977.9,2.2355,6.5059,4.2704,1.141 45,156.36
191.0,1.283,874.96,6.5312,811.89,2786.0,1974.1,2.245,6.4982,4.2532,1.142 91,153.11
192.0,1.3112,873.83,6.6692,816.36,2786.7,1970.4,2.2546,6.4906,4.236,1.144 38,149.94
193.0,1.3399,872.7,6.8096,820.83,2787.4,1966.6,2.2641,6.483,4.2188,1.145 86,146.85
194.0,1.3691,871.57,6.9524,825.31,2788.1,1962.8,2.2736,6.4754,4.2017,1.147 36,143.83
195.0,1.3988,870.43,7.0976,829.79,2788.8,1959.0,2.2832,6.4678,4.1846,1.148 86,140.89
196.0,1.429,869.29,7.2453,834.28,2789.5,1955.2,2.2926,6.4602,4.1676,1.150 37,138.02
197.0,1.4597,868.14,7.3954,838.77,2790.1,1951.4,2.3021,6.4527,4.1505,1.151 89,135.22
198.0,1.4909,866.98,7.548,843.26,2790.8,1947.5,2.3116,6.4451,4.1335,1.153 43,132.48
199.0,1.5227,865.82,7.7032,847.76,2791.4,1943.6,2.3211,6.4376,4.1166,1.154 97,129.82
200.0,1.5549,864.66,7.861,852.27,2792.0,1939.7,2.3305,6.4302,4.0996,1.156 53,127.21
201.0,1.5877,863.49,8.0214,856.78,2792.6,1935.8,2.34,6.4227,4.0827,1.158 09,124.67
202.0,1.621,862.31,8.1844,861.3,2793.2,1931.9,2.3494,6.4152,4.0658,1.159 67,122.18
203.0,1.6549,861.13,8.3501,865.82,2793.7,1927.9,2.3588,6.4078,4.049,1.161 26,119.76
204.0,1.6893,859.95,8.5186,870.35,2794.3,1923.9,2.3683,6.4004,4.0322,1.162 86,117.39
205.0,1.7243,858.76,8.6898,874.88,2794.8,1919.9,2.3777,6.393,4.0154,1.164 48,115.08
206.0,1.7598,857.56,8.8638,879.42,2795.3,1915.9,2.3871,6.3856,3.9986,1.166 10,112.82
207.0,1.7959,856.36,9.0406,883.96,2795.9,1911.9,2.3964,6.3783,3.9819,1.167 74,110.61
208.0,1.8326,855.15,9.2203,888.51,2796.3,1907.8,2.4058,6.371,3.9651,1.169 39,108.46
209.0,1.8698,853.94,9.4029,893.07,2796.8,1903.7,2.4152,6.3636,3.9484,1.171 05,106.35
210.0,1.9077,852.72,9.5885,897.63,2797.3,1899.6,2.4245,6.3563,3.9318,1.172 72,104.29
211.0,1.9461,851.49,9.777,902.2,2797.7,1895.5,2.4339,6.349,3.9151,1.174 41,102.28
212.0,1.9851,850.26,9.9686,906.77,2798.1,1891.4,2.4432,6.3417,3.8985,1.176 11,100.31
213.0,2.0247,849.03,10.163,911.35,2798.5,1887.2,2.4526,6.3345,3.8819,1.177 82,98.394
214.0,2.065,847.79,10.361,915.94,2798.9,1883.0,2.4619,6.3272,3.8653,1.179 54,96.516
215.0,2.1058,846.54,10.562,920.53,2799.3,1878.8,2.4712,6.32,3.8488,1.181 28,94.679
216.0,2.1473,845.29,10.766,925.12,2799.7,1874.6,2.4805,6.3128,3.8323,1.183 03,92.884
217.0,2.1894,844.03,10.973,929.73,2800.0,1870.3,2.4898,6.3056,3.8158,1.184 79,91.129
218.0,2.2322,842.77,11.184,934.34,2800.3,1866.0,2.4991,6.2984,3.7993,1.186 57,89.413
219.0,2.2756,841.5,11.398,938.96,2800.7,1861.7,2.5084,6.2912,3.7828,1.188 36,87.734
236.0,3.1179,818.95,15.593,1018.5,2803.2,1784.7,2.6653,6.1704,3.5052,1.221 08,64.133
237.0,3.174,817.56,15.875,1023.3,2803.1,1779.9,2.6745,6.1634,3.489,1.223 15,62.991
238.0,3.2308,816.17,16.162,1028.0,2803.1,1775.1,2.6836,6.1564,3.4727,1.225 23,61.873
239.0,3.2885,814.77,16.453,1032.8,2803.0,1770.3,2.6928,6.1493,3.4565,1.227 34,60.778
240.0,3.3469,813.37,16.749,1037.6,2803.0,1765.4,2.702,6.1423,3.4403,1.229 46,59.705
241.0,3.4062,811.95,17.049,1042.3,2802.9,1760.5,2.7111,6.1353,3.4241,1.231 60,58.654
242.0,3.4662,810.53,17.354,1047.1,2802.7,1755.6,2.7203,6.1282,3.4079,1.233 76,57.623
243.0,3.527,809.1,17.664,1051.9,2802.6,1750.7,2.7295,6.1212,3.3918,1.235 94,56.613
244.0,3.5887,807.67,17.978,1056.7,2802.4,1745.7,2.7386,6.1142,3.3756,1.238 13,55.624
245.0,3.6512,806.22,18.297,1061.5,2802.2,1740.7,2.7478,6.1072,3.3594,1.240 35,54.654
246.0,3.7145,804.77,18.621,1066.4,2802.0,1735.6,2.7569,6.1002,3.3432,1.242 59,53.703
247.0,3.7786,803.32,18.95,1071.2,2801.8,1730.6,2.7661,6.0931,3.327,1.244 84,52.771
248.0,3.8436,801.85,19.284,1076.1,2801.5,1725.5,2.7752,6.0861,3.3109,1.247 12,51.857
249.0,3.9095,800.38,19.623,1080.9,2801.2,1720.3,2.7844,6.0791,3.2947,1.249 41,50.961
250.0,3.9762,798.89,19.967,1085.8,2800.9,1715.2,2.7935,6.0721,3.2785,1.251 73,50.083
251.0,4.0438,797.4,20.316,1090.6,2800.6,1710.0,2.8027,6.065,3.2624,1.254 07,49.222
252.0,4.1122,795.91,20.671,1095.5,2800.3,1704.7,2.8118,6.058,3.2462,1.256 43,48.377
253.0,4.1815,794.4,21.031,1100.4,2799.9,1699.5,2.821,6.051,3.23,1.258 81,47.548
254.0,4.2518,792.89,21.397,1105.3,2799.5,1694.2,2.8301,6.0439,3.2138,1.261 21,46.736
255.0,4.3229,791.37,21.768,1110.2,2799.1,1688.8,2.8392,6.0369,3.1977,1.263 64,45.938
256.0,4.3949,789.83,22.145,1115.2,2798.6,1683.5,2.8484,6.0298,3.1815,1.266 09,45.156
257.0,4.4679,788.3,22.528,1120.1,2798.2,1678.1,2.8575,6.0228,3.1653,1.268 56,44.389
258.0,4.5417,786.75,22.917,1125.0,2797.7,1672.6,2.8667,6.0157,3.1491,1.271 06,43.637
259.0,4.6165,785.19,23.311,1130.0,2797.1,1667.2,2.8758,6.0087,3.1329,1.273 58,42.898
260.0,4.6923,783.63,23.712,1135.0,2796.6,1661.6,2.8849,6.0016,3.1167,1.276 12,42.173
261.0,4.7689,782.05,24.118,1139.9,2796.0,1656.1,2.8941,5.9945,3.1004,1.278 69,41.462
262.0,4.8466,780.47,24.531,1144.9,2795.4,1650.5,2.9032,5.9874,3.0842,1.281 28,40.764
263.0,4.9252,778.88,24.951,1149.9,2794.8,1644.9,2.9124,5.9804,3.068,1.283 90,40.079
264.0,5.0047,777.27,25.377,1154.9,2794.2,1639.2,2.9215,5.9732,3.0517,1.286 55,39.406
265.0,5.0853,775.66,25.809,1160.0,2793.5,1633.5,2.9307,5.9661,3.0354,1.289 22,38.746
266.0,5.1668,774.04,26.248,1165.0,2792.8,1627.8,2.9398,5.959,3.0192,1.291 92,38.098
267.0,5.2494,772.41,26.694,1170.0,2792.1,1622.0,2.949,5.9519,3.0029,1.294 65,37.462
268.0,5.3329,770.77,27.147,1175.1,2791.3,1616.2,2.9582,5.9447,2.9866,1.297 40,36.837
269.0,5.4174,769.12,27.606,1180.2,2790.5,1610.3,2.9673,5.9376,2.9703,1.300 19,36.223
270.0,5.503,767.46,28.073,1185.3,2789.7,1604.4,2.9765,5.9304,2.9539,1.303 00,35.621
271.0,5.5896,765.79,28.548,1190.4,2788.8,1598.5,2.9857,5.9232,2.9376,1.305 84,35.029
272.0,5.6772,764.11,29.029,1195.5,2788.0,1592.5,2.9948,5.916,2.9212,1.308 71,34.448
273.0,5.7659,762.42,29.518,1200.6,2787.1,1586.5,3.004,5.9088,2.9048,1.311 61,33.877
274.0,5.8556,760.72,30.015,1205.7,2786.1,1580.4,3.0132,5.9016,2.8884,1.314 55,33.317
291.0,7.5508,730.0,39.783,1295.4,2765.2,1469.7,3.1705,5.7758,2.6052,1.369 87,25.136
292.0,7.661,728.07,40.446,1300.9,2763.6,1462.7,3.1799,5.7681,2.5883,1.373 49,24.724
293.0,7.7725,726.13,41.12,1306.3,2762.0,1455.7,3.1892,5.7605,2.5712,1.377 16,24.319
294.0,7.8852,724.18,41.805,1311.8,2760.4,1448.6,3.1986,5.7528,2.5542,1.380 87,23.921
295.0,7.9991,722.21,42.501,1317.3,2758.7,1441.4,3.208,5.7451,2.5371,1.384 64,23.529
296.0,8.1143,720.23,43.21,1322.8,2757.0,1434.2,3.2174,5.7373,2.5199,1.388 45,23.143
297.0,8.2308,718.23,43.931,1328.3,2755.2,1426.9,3.2268,5.7295,2.5027,1.392 31,22.763
298.0,8.3485,716.21,44.664,1333.8,2753.4,1419.5,3.2362,5.7217,2.4854,1.396 23,22.39
299.0,8.4676,714.18,45.409,1339.4,2751.5,1412.1,3.2457,5.7138,2.4681,1.400 20,22.022
300.0,8.5879,712.14,46.168,1345.0,2749.6,1404.6,3.2552,5.7059,2.4507,1.404 23,21.66
301.0,8.7095,710.07,46.94,1350.6,2747.7,1397.1,3.2647,5.6979,2.4333,1.408 31,21.304
302.0,8.8325,707.99,47.725,1356.3,2745.7,1389.4,3.2742,5.6899,2.4158,1.412 45,20.953
303.0,8.9568,705.89,48.525,1361.9,2743.7,1381.7,3.2837,5.6819,2.3982,1.416 65,20.608
304.0,9.0824,703.77,49.338,1367.6,2741.6,1374.0,3.2932,5.6738,2.3806,1.420 91,20.268
305.0,9.2094,701.64,50.167,1373.3,2739.4,1366.1,3.3028,5.6657,2.3629,1.425 24,19.933
306.0,9.3378,699.48,51.01,1379.0,2737.2,1358.2,3.3124,5.6575,2.3452,1.429 63,19.604
307.0,9.4675,697.31,51.869,1384.8,2735.0,1350.2,3.322,5.6493,2.3273,1.434 08,19.279
308.0,9.5986,695.12,52.743,1390.6,2732.7,1342.1,3.3316,5.6411,2.3094,1.438 61,18.96
309.0,9.7311,692.9,53.634,1396.4,2730.4,1334.0,3.3413,5.6327,2.2915,1.443 20,18.645
310.0,9.8651,690.67,54.541,1402.2,2727.9,1325.7,3.351,5.6244,2.2734,1.447 87,18.335
311.0,10.0,688.42,55.466,1408.1,2725.5,1317.4,3.3607,5.6159,2.2553,1.452 61,18.029
312.0,10.137,686.14,56.408,1414.0,2723.0,1309.0,3.3704,5.6074,2.237,1.457 43,17.728
313.0,10.275,683.84,57.368,1419.9,2720.4,1300.5,3.3802,5.5989,2.2187,1.462 32,17.431
314.0,10.415,681.52,58.346,1425.8,2717.8,1291.9,3.39,5.5903,2.2003,1.467 30,17.139
315.0,10.556,679.18,59.344,1431.8,2715.1,1283.2,3.3998,5.5816,2.1818,1.472 36,16.851
316.0,10.699,676.81,60.361,1437.8,2712.3,1274.5,3.4097,5.5729,2.1632,1.477 51,16.567
317.0,10.843,674.42,61.398,1443.9,2709.5,1265.6,3.4195,5.5641,2.1445,1.482 75,16.287
318.0,10.989,672.0,62.457,1450.0,2706.6,1256.6,3.4295,5.5552,2.1257,1.488 09,16.011
319.0,11.136,669.56,63.537,1456.1,2703.6,1247.5,3.4394,5.5462,2.1068,1.493 51,15.739
320.0,11.284,667.09,64.638,1462.2,2700.6,1238.4,3.4494,5.5372,2.0878,1.499 04,15.471
321.0,11.434,664.6,65.763,1468.4,2697.5,1229.1,3.4595,5.5281,2.0686,1.504 67,15.206
322.0,11.586,662.07,66.912,1474.6,2694.3,1219.7,3.4695,5.5189,2.0494,1.510 40,14.945
323.0,11.74,659.52,68.084,1480.9,2691.1,1210.2,3.4797,5.5096,2.03,1.516 25,14.688
324.0,11.895,656.94,69.282,1487.2,2687.7,1200.6,3.4898,5.5003,2.0105,1.522 21,14.434
325.0,12.051,654.33,70.506,1493.5,2684.3,1190.8,3.5,5.4908,1.9908,1.528 29,14.183
326.0,12.209,651.68,71.757,1499.9,2680.8,1180.9,3.5103,5.4813,1.971,1.534 49,13.936
327.0,12.369,649.01,73.036,1506.3,2677.3,1170.9,3.5206,5.4717,1.9511,1.540 81,13.692
328.0,12.53,646.3,74.344,1512.8,2673.6,1160.8,3.5309,5.4619,1.931,1.547 27,13.451
329.0,12.693,643.55,75.682,1519.3,2669.9,1150.6,3.5413,5.4521,1.9108,1.553 87,13.213
346.0,15.734,590.01,104.47,1639.1,2589.0,949.9,3.7295,5.2636,1.5342,1.694 88,9.5724
347.0,15.93,586.32,106.64,1646.9,2583.0,936.1,3.7414,5.2509,1.5094,1.705 56,9.3776
348.0,16.128,582.54,108.88,1654.8,2576.7,922.0,3.7536,5.2379,1.4843,1.716 62,9.1844
349.0,16.328,578.67,111.2,1662.8,2570.3,907.5,3.7659,5.2246,1.4587,1.728 10,8.9927
350.0,16.529,574.71,113.61,1670.9,2563.6,892.7,3.7784,5.211,1.4326,1.740 02,8.8024
