p,t,rhoL,rhoV,hL,hV,delta_h,sL,sV,delta_s,vL,vV
9.3,305.707,700.12,50.761,1377.4,2737.9,1360.5,3.3096,5.6599,2.3504,1.428 33,19.7
9.4,306.481,698.44,51.421,1381.8,2736.2,1354.4,3.317,5.6536,2.3366,1.431 76,19.447
9.5,307.249,696.77,52.085,1386.2,2734.4,1348.2,3.3244,5.6473,2.3229,1.435 20,19.199
9.6,308.01,695.09,52.753,1390.6,2732.7,1342.0,3.3317,5.641,2.3092,1.438 65,18.956
9.7,308.766,693.42,53.424,1395.0,2730.9,1335.9,3.339,5.6347,2.2957,1.442 12,18.718
9.8,309.516,691.76,54.1,1399.4,2729.1,1329.7,3.3463,5.6284,2.2822,1.445 60,18.484
9.9,310.259,690.09,54.779,1403.7,2727.3,1323.6,3.3535,5.6222,2.2687,1.449 09,18.255
10.0,310.997,688.42,55.463,1408.1,2725.5,1317.4,3.3606,5.616,2.2553,1.452 59,18.03
10.2,312.456,685.1,56.843,1416.7,2721.8,1305.1,3.3749,5.6035,2.2287,1.459 65,17.592
10.4,313.893,681.77,58.24,1425.2,2718.0,1292.8,3.3889,5.5912,2.2023,1.466 76,17.17
10.6,315.308,678.45,59.655,1433.7,2714.2,1280.5,3.4028,5.5789,2.1761,1.473 94,16.763
10.8,316.703,675.13,61.089,1442.1,2710.3,1268.2,3.4166,5.5667,2.1501,1.481 19,16.37
11.0,318.079,671.81,62.541,1450.4,2706.3,1255.9,3.4303,5.5545,2.1242,1.488 51,15.99
11.2,319.434,668.49,64.012,1458.7,2702.3,1243.6,3.4438,5.5423,2.0985,1.495 90,15.622
11.4,320.771,665.17,65.504,1467.0,2698.2,1231.2,3.4572,5.5302,2.073,1.503 37,15.266
11.6,322.09,661.85,67.016,1475.2,2694.0,1218.8,3.4705,5.5181,2.0476,1.510 93,14.922
11.8,323.391,658.52,68.55,1483.3,2689.8,1206.4,3.4836,5.506,2.0224,1.518 57,14.588
15.2,343.217,599.89,98.776,1618.1,2605.0,986.9,3.6968,5.2979,1.6011,1.666 97,10.124
15.4,344.268,596.23,100.87,1625.9,2599.1,973.2,3.709,5.2852,1.5762,1.677 22,9.914
15.6,345.308,592.52,103.0,1633.8,2593.1,959.3,3.7212,5.2723,1.5511,1.687 70,9.7083
15.8,346.337,588.78,105.19,1641.7,2587.0,945.3,3.7335,5.2594,1.5259,1.698 43,9.5067
16.0,347.355,584.99,107.42,1649.7,2580.8,931.1,3.7457,5.2463,1.5006,1.709 44,9.3088
16.2,348.362,581.15,109.71,1657.7,2574.4,916.8,3.758,5.2331,1.475,1.720 73,9.1147
16.4,349.36,577.26,112.06,1665.7,2567.9,902.2,3.7704,5.2197,1.4494,1.732 33,8.924
16.6,350.347,573.31,114.46,1673.7,2561.3,887.5,3.7827,5.2062,1.4235,1.744 27,8.7366
16.8,351.325,569.29,116.93,1681.9,2554.5,872.6,3.7952,5.1925,1.3974,1.756 57,8.5523
17.0,352.293,565.21,119.46,1690.0,2547.5,857.5,3.8077,5.1787,1.371,1.769 26,8.3709
17.2,353.251,561.05,122.07,1698.3,2540.4,842.1,3.8203,5.1646,1.3443,1.782 37,8.1923
17.4,354.2,556.81,124.75,1706.6,2533.0,826.5,3.833,5.1504,1.3174,1.795 93,8.0163
17.6,355.14,552.49,127.51,1715.0,2525.5,810.5,3.8458,5.1359,1.2901,1.810 00,7.8426
17.8,356.071,548.06,130.36,1723.5,2517.8,794.3,3.8587,5.1211,1.2624,1.824 60,7.6712
18.0,356.992,543.54,133.3,1732.1,2509.8,777.7,3.8718,5.1061,1.2342,1.839 80,7.5017
18.2,357.906,538.9,136.35,1740.8,2501.6,760.8,3.8851,5.0907,1.2056,1.855 64,7.3341
18.4,358.81,534.13,139.51,1749.7,2493.2,743.5,3.8985,5.075,1.1765,1.872 19,7.1681
18.6,359.706,529.24,142.79,1758.7,2484.4,725.8,3.9121,5.059,1.1468,1.889 51,7.0034
18.8,360.594,524.2,146.2,1767.8,2475.4,707.6,3.926,5.0425,1.1165,1.907 67,6.8399
19.0,361.473,519.0,149.76,1777.2,2466.0,688.9,3.9401,5.0256,1.0855,1.926 77,6.6773
19.2,362.344,513.64,153.49,1786.7,2456.2,669.6,3.9545,5.0081,1.0536,1.946 89,6.5153
19.4,363.208,508.09,157.39,1796.4,2446.1,649.6,3.9692,4.9901,1.0208,1.968 14,6.3535
19.6,364.063,502.35,161.51,1806.4,2435.4,629.0,3.9843,4.9713,0.9871,1.990 64,6.1915
19.8,364.91,496.39,165.87,1816.7,2424.2,607.5,3.9997,4.9518,0.9521,2.0145,6.029
20.0,365.749,490.19,170.5,1827.2,2412.3,585.1,4.0156,4.9314,0.9158,2.0400,5.8652
20.2,366.581,483.71,175.45,1838.1,2399.8,561.7,4.032,4.91,0.878,2.0674,5.6996
20.4,367.404,476.9,180.79,1849.5,2386.3,536.9,4.0491,4.8872,0.8381,2.0969,5.5313
20.6,368.22,469.67,186.6,1861.4,2371.9,510.5,4.067,4.8629,0.7959,2.1291,5.359
20.8,369.027,461.91,193.0,1874.0,2356.1,482.1,4.086,4.8367,0.7507,2.1649,5.1814
21.0,369.827,453.41,200.16,1887.6,2338.6,451.0,4.1064,4.8079,0.7015,2.2055,4.9961
21.2,370.619,443.83,208.33,1902.6,2318.9,416.3,4.1291,4.7758,0.6467,2.2531,4.8
21.4,371.402,432.62,217.96,1919.7,2296.1,376.4,4.155,4.739,0.5839,2.3115,4.588
21.6,372.178,418.75,229.84,1940.4,2268.6,328.2,4.1864,4.695,0.5086,2.3880,4.3508
21.8,372.946,400.26,245.82,1967.4,2232.9,265.5,4.2274,4.6383,0.4109,2.4983,4.068
22.0,373.705,369.77,274.16,2011.3,2173.1,161.7,4.2945,4.5446,0.2501,2.7044,3.6475
22.064,373.946,322.0,322.0,2084.3,2084.3,0.0,4.407,4.407,0.0,3.1056,3.1056
